created_at,tweet_id,Location,tweet_text,screen_name,name,account_creation_date,urls,Likes,Retweet
2021-03-09 10:25:33,1369232886029684736,,"RT @GOT7wPhoenixS: Listen to #ONEINAMILLION by #MarkTuan on this Spotify Playlist and keep the song trending!

https://t.co/gAe6iDtN0A

""NI…",se7en_got7,SE7EN ∞,Fri Sep 13 01:58:50 +0000 2019,"[{'url': 'https://t.co/gAe6iDtN0A', 'expanded_url': 'https://open.spotify.com/playlist/78uVXhnr6tGbSdptRIps0c', 'display_url': 'open.spotify.com/playlist/78uVX…', 'indices': [111, 134]}]",0,6
2021-03-09 10:25:26,1369232855893762057,,RT @Resilient_Vet: My sons first day back at school and some bast@rd stole his Nike trainers!! 🤷🏼‍♂️,rospay15,Rosalind Pay,Sat Mar 07 14:56:07 +0000 2015,[],0,10
2021-03-09 10:25:04,1369232764118138883,,#ad The Nike Women's Waffle Racer 2X 'Summit White/Volt' is now available via @FinishLine for $90! (use code SPRING… https://t.co/PqvSw3PbaL,SneakerScouts,#SneakerScouts,Sat Oct 29 01:54:19 +0000 2016,"[{'url': 'https://t.co/PqvSw3PbaL', 'expanded_url': 'https://twitter.com/i/web/status/1369232764118138883', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",0,1
2021-03-09 10:25:01,1369232752436985861,,"RT @SOLELINKS: Ad: LIVE Antonioli
Nike Blazer Mid '77 'Popcorn'
=&gt; https://t.co/1ZWfVxZtvd https://t.co/FKk69vsnWY",JacobLashinsky,Jacob Lashinsky,Thu May 09 23:21:15 +0000 2013,"[{'url': 'https://t.co/1ZWfVxZtvd', 'expanded_url': 'https://bit.ly/3cdfqMp', 'display_url': 'bit.ly/3cdfqMp', 'indices': [70, 93]}]",0,2
2021-03-09 10:24:48,1369232694295597060,17,"RT @TheSoleWomens: HUGE GIVEAWAY! We're giving away a pair of the Nike Dunk Low Retro White/Black to one lucky winner. 🔥

The rules are sim…",Riaparsons04,riaparsons_,Mon Feb 10 15:45:49 +0000 2020,[],0,598
2021-03-09 10:24:47,1369232691388837888,Australia,"Coroner to scrutinise AFL concussion rules https://t.co/Wzd1jLOxxu 
#AFL #AFLinCrisis @Toyota_Aus @Coles @NAB… https://t.co/Zqnyi5jBeK",mj_lynch,Martin Lynch,Sun Sep 19 06:50:56 +0000 2010,"[{'url': 'https://t.co/Wzd1jLOxxu', 'expanded_url': 'https://www.theaustralian.com.au/sport/afl/coroner-to-scrutinise-afl-concussion-rules/news-story/781028cc4e1b5d4c335a53f089290e78', 'display_url': 'theaustralian.com.au/sport/afl/coro…', 'indices': [43, 66]}, {'url': 'https://t.co/Zqnyi5jBeK', 'expanded_url': 'https://twitter.com/i/web/status/1369232691388837888', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}]",0,0
2021-03-09 10:24:41,1369232668391448582,sold 100+ accs,"NETFLIX PREMIUM FOR SALE

-Affordable, Cheap, but Working!
-For One (1) Month
-Full Warranty
-No Hold (renewed acco… https://t.co/O2DbakCH0o",Nike_premsinc,OPEN FAST REPLIES| READ BIO&📌,Wed Dec 02 11:30:43 +0000 2020,"[{'url': 'https://t.co/O2DbakCH0o', 'expanded_url': 'https://twitter.com/i/web/status/1369232668391448582', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",0,0
2021-03-09 10:24:40,1369232662196523008,The corridor of uncertainty,RT @TheAthleticUK: Nike's loss is New Balance's gain with confirmation #AFC star Bukayo Saka has become the latest star to switch boot prov…,gunnerblog,gunnerblog,Tue Feb 26 18:00:09 +0000 2008,[],0,10
2021-03-09 10:24:40,1369232662032957442,"Rugby , Warwickshire","RT @SneakerDealsGB: Ad: Another monochrome styled Nike Blazer Mid ‘77 just reduced to ONLY £55!

Here =&gt; https://t.co/IqZD6cpGsP

UK6-12
(R…",Daniel_C1987,Daniel Carter,Sun Jun 07 21:56:19 +0000 2020,"[{'url': 'https://t.co/IqZD6cpGsP', 'expanded_url': 'https://tidd.ly/3endVxO', 'display_url': 'tidd.ly/3endVxO', 'indices': [108, 131]}]",0,1
2021-03-09 10:24:27,1369232609713197056,Hogwarts ,"Best training app 👌 
Try the 12-minute Quick Cool-Down Flow workout in the Nike Training Club App https://t.co/9yOq6qijRS",AdamSoliman_,HΣRMΣS,Tue Oct 01 01:40:41 +0000 2013,"[{'url': 'https://t.co/9yOq6qijRS', 'expanded_url': 'https://ntc-go.nike.com/f/A3tjkJx7', 'display_url': 'ntc-go.nike.com/f/A3tjkJx7', 'indices': [98, 121]}]",0,0
