Date,Open,High,Low,Close,Adj Close,Volume
2018-07-10,527.9500122070312,534.9000244140625,522.0,532.5499877929688,531.889404296875,5281760
2018-07-11,532.4000244140625,542.3499755859375,530.7999877929688,536.5499877929688,535.8844604492188,6432494
2018-07-12,539.7000122070312,545.7000122070312,535.2999877929688,538.3499755859375,537.6822509765625,4128221
2018-07-13,539.7000122070312,541.0,519.4500122070312,523.0,522.3512573242188,4169212
2018-07-16,523.0,529.9000244140625,518.3499755859375,522.0999755859375,521.452392578125,5032325
2018-07-17,521.7000122070312,539.8499755859375,519.0,537.9000244140625,537.2328491210938,4511522
2018-07-18,541.2000122070312,542.4000244140625,515.0,526.5499877929688,525.8968505859375,4954888
2018-07-19,528.0499877929688,537.4000244140625,518.4000244140625,526.7999877929688,526.1465454101562,5276418
2018-07-20,526.7999877929688,536.4500122070312,525.0,533.7000122070312,533.0380249023438,2532288
2018-07-23,534.9000244140625,544.7999877929688,530.5499877929688,540.3499755859375,539.6797485351562,6009401
2018-07-24,541.0499877929688,548.9000244140625,538.0499877929688,546.0999755859375,545.422607421875,6171893
2018-07-25,547.0,547.5,529.5,532.25,531.5897827148438,3341114
2018-07-26,535.4000244140625,544.0,526.4000244140625,541.6500244140625,540.9781494140625,7920089
2018-07-27,543.2000122070312,555.0,537.25,553.25,552.5637817382812,7678597
2018-07-30,556.0499877929688,571.2000122070312,550.7999877929688,569.6500244140625,568.9434204101562,12949737
2018-07-31,582.0,584.4500122070312,548.0,550.4000244140625,549.7173461914062,21735293
2018-08-01,550.5,555.5,538.25,545.1500244140625,544.4738159179688,6871812
2018-08-02,545.25,551.2999877929688,539.0,547.25,546.5712280273438,6495837
2018-08-03,546.5,578.5499877929688,545.75,574.75,574.037109375,15953749
2018-08-06,575.2000122070312,604.0,575.2000122070312,596.7999877929688,596.0597534179688,22629303
2018-08-07,597.0,606.9000244140625,583.7000122070312,593.0499877929688,592.3143920898438,16424825
2018-08-08,596.75,598.9000244140625,587.0,596.2999877929688,595.5603637695312,7138029
2018-08-09,595.0,624.4000244140625,595.0,621.0499877929688,620.2796630859375,18227195
2018-08-10,621.2999877929688,623.9000244140625,611.25,615.5,614.736572265625,16074351
2018-08-13,612.0,616.0,602.5999755859375,604.9000244140625,604.1497192382812,8445677
2018-08-14,608.5999755859375,621.2999877929688,608.5999755859375,618.0499877929688,617.2833862304688,10225641
2018-08-16,614.9000244140625,635.0,611.25,623.4500122070312,622.6766967773438,18777302
2018-08-17,630.0,632.4500122070312,620.2999877929688,627.2999877929688,626.5219116210938,13411536
2018-08-20,630.0,630.5999755859375,622.0999755859375,624.4000244140625,623.6255493164062,6463139
